tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
PKSF-1E_LP-DIR-T-296	PKSF-1E_LP-DIR-T	PKSF-1E	4.1	53.0	-19.6	0	0	0	0	6	343	This study	shoemake 2024-08-14 19:28:39	LT-T-Z:LP-DIR-T	g	762	u	8	273			pmagpy-4.3.7	2.58e-05	1.55e-06	1.02e-06	2.03e-07	PKSF-1	PKSF	PKSF
PKSF-1E_LP-DIR-T-297	PKSF-1E_LP-DIR-T	PKSF-1E	4.4	47.3	-20.2	0	0	0	0	7	373	This study	shoemake 2025-07-09 18:54:02	LT-T-Z:LP-DIR-T	g	763	u	8	273			pmagpy-4.3.7	2.68e-05	1.52e-06	1.44e-06	9.95e-08	PKSF-1	PKSF	PKSF
PKSF-1E_LP-DIR-T-298	PKSF-1E_LP-DIR-T	PKSF-1E	4.6	48.0	-19.7	0	0	0	0	8	433	This study	shoemake 2025-07-11 19:36:04	LT-T-Z:LP-DIR-T	g	764	u	8	273			pmagpy-4.3.7	2.46e-05	1.54e-06	1.27e-06	1.04e-07	PKSF-1	PKSF	PKSF
PKSF-1E_LP-DIR-T-299	PKSF-1E_LP-DIR-T	PKSF-1E	5.9	44.1	-15.0	0	0	0	0	9	483	This study	shoemake 2025-07-17 13:14:45	LT-T-Z:LP-DIR-T	g	765	u	8	273			pmagpy-4.3.7	1.64e-05	1.32e-06	1.09e-06	9.86e-08	PKSF-1	PKSF	PKSF
PKSF-1F_LP-DIR-T-300	PKSF-1F_LP-DIR-T	PKSF-1F	1.5	53.9	-19.5	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:20:24	LT-NO:LP-DIR-T	g	766	u	8	273			pmagpy-4.3.7	4.34e-05	5.85e-07	7.62e-07	7.12e-07	PKSF-1	PKSF	PKSF
PKSF-1F_LP-DIR-T-301	PKSF-1F_LP-DIR-T	PKSF-1F	2.3	48.3	-20.1	0	0	0	0	1	273	This study	shoemake 2024-07-18 18:42:39	LT-NO:LP-DIR-T	g	767	u	8	273			pmagpy-4.3.7	4.38e-05	1.04e-06	9.95e-07	1.19e-06	PKSF-1	PKSF	PKSF
PKSF-1F_LP-DIR-T-302	PKSF-1F_LP-DIR-T	PKSF-1F	6.6	45.5	-19.9	0	0	0	0	2	77	This study	shoemake 2024-08-02 20:43:03	LT-LT-Z:LP-DIR-T	g	768	u	8	273			pmagpy-4.3.7	4.1e-05	3.56e-06	3.14e-06	4.71e-07	PKSF-1	PKSF	PKSF
PKSF-1F_LP-DIR-T-303	PKSF-1F_LP-DIR-T	PKSF-1F	3.0	50.9	-19.8	0	0	0	0	3	77	This study	shoemake 2024-08-13 17:23:43	LT-LT-Z:LP-DIR-T	g	769	u	8	273			pmagpy-4.3.7	4.1e-05	1.6e-06	1.4e-06	5.89e-07	PKSF-1	PKSF	PKSF
PKSF-1F_LP-DIR-T-304	PKSF-1F_LP-DIR-T	PKSF-1F	4.7	52.2	-18.4	0	0	0	0	4	343	This study	shoemake 2024-08-14 19:31:07	LT-T-Z:LP-DIR-T	g	770	u	8	273			pmagpy-4.3.7	3.04e-05	2.05e-06	1.45e-06	3.51e-07	PKSF-1	PKSF	PKSF
PKSF-1F_LP-DIR-T-305	PKSF-1F_LP-DIR-T	PKSF-1F	5.6	52.7	-18.9	0	0	0	0	5	373	This study	shoemake 2025-07-09 18:56:32	LT-T-Z:LP-DIR-T	g	771	u	8	273			pmagpy-4.3.7	3.14e-05	2.47e-06	1.81e-06	2.82e-07	PKSF-1	PKSF	PKSF
PKSF-1F_LP-DIR-T-306	PKSF-1F_LP-DIR-T	PKSF-1F	2.7	45.9	-18.1	0	0	0	0	6	433	This study	shoemake 2025-07-11 19:38:34	LT-T-Z:LP-DIR-T	g	772	u	8	273			pmagpy-4.3.7	2.82e-05	8.65e-07	1.03e-06	2.07e-07	PKSF-1	PKSF	PKSF
PKSF-1F_LP-DIR-T-307	PKSF-1F_LP-DIR-T	PKSF-1F	6.2	47.5	-13.1	0	0	0	0	7	483	This study	shoemake 2025-07-17 13:17:16	LT-T-Z:LP-DIR-T	g	773	u	8	273			pmagpy-4.3.7	1.87e-05	1.67e-06	1.2e-06	1e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-308	PKSF-1G_LP-DIR-T	PKSF-1G	1.3	53.6	-17.7	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:22:33	LT-NO:LP-DIR-T	g	774	u	8	273			pmagpy-4.3.7	4.83e-05	6.79e-07	4.68e-07	7.62e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-309	PKSF-1G_LP-DIR-T	PKSF-1G	6.2	51.3	-18.2	0	0	0	0	1	273	This study	shoemake 2024-07-18 18:45:28	LT-NO:LP-DIR-T	g	775	u	8	273			pmagpy-4.3.7	4.86e-05	4.18e-06	3.14e-06	9.42e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-310	PKSF-1G_LP-DIR-T	PKSF-1G	1.5	45.5	-18.0	0	0	0	0	2	273	This study	shoemake 2024-07-19 12:09:31	LT-NO:LP-DIR-T	g	776	u	8	273			pmagpy-4.3.7	4.88e-05	8.59e-07	6.88e-07	9.68e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-311	PKSF-1G_LP-DIR-T	PKSF-1G	2.3	49.0	-18.1	0	0	0	0	3	77	This study	shoemake 2024-08-02 20:45:10	LT-LT-Z:LP-DIR-T	g	777	u	8	273			pmagpy-4.3.7	4.57e-05	1.6e-06	9.4e-07	2.49e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-312	PKSF-1G_LP-DIR-T	PKSF-1G	7.6	55.3	-18.3	0	0	0	0	4	77	This study	shoemake 2024-08-13 17:26:13	LT-LT-Z:LP-DIR-T	g	778	u	8	273			pmagpy-4.3.7	4.48e-05	4.84e-06	3.57e-06	4.46e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-313	PKSF-1G_LP-DIR-T	PKSF-1G	6.8	50.3	-16.6	0	0	0	0	5	343	This study	shoemake 2024-08-14 19:33:33	LT-T-Z:LP-DIR-T	g	779	u	8	273			pmagpy-4.3.7	3.17e-05	3.01e-06	2.26e-06	2.42e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-314	PKSF-1G_LP-DIR-T	PKSF-1G	1.0	47.9	-16.8	0	0	0	0	6	373	This study	shoemake 2025-07-09 18:59:02	LT-T-Z:LP-DIR-T	g	780	u	8	273			pmagpy-4.3.7	3.31e-05	4.7e-07	3.96e-07	1.96e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-315	PKSF-1G_LP-DIR-T	PKSF-1G	7.5	54.4	-16.0	0	0	0	0	7	433	This study	shoemake 2025-07-11 19:41:02	LT-T-Z:LP-DIR-T	g	781	u	8	273			pmagpy-4.3.7	2.87e-05	3.15e-06	2.1e-06	1.28e-07	PKSF-1	PKSF	PKSF
PKSF-1G_LP-DIR-T-316	PKSF-1G_LP-DIR-T	PKSF-1G	8.3	47.3	-11.0	0	0	0	0	8	483	This study	shoemake 2025-07-17 13:19:48	LT-T-Z:LP-DIR-T	g	782	u	8	273			pmagpy-4.3.7	1.89e-05	2.19e-06	1.72e-06	9.95e-08	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-317	PKSF-1H_LP-DIR-T	PKSF-1H	3.4	48.1	-16.5	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:24:42	LT-NO:LP-DIR-T	g	783	u	8	273			pmagpy-4.3.7	4.38e-05	1.91e-06	1.69e-06	5.89e-07	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-318	PKSF-1H_LP-DIR-T	PKSF-1H	10.5	56.6	-17.0	0	0	0	0	1	273	This study	shoemake 2024-07-18 18:48:15	LT-NO:LP-DIR-T	g	784	u	8	273			pmagpy-4.3.7	4.36e-05	6.68e-06	4.43e-06	9e-07	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-319	PKSF-1H_LP-DIR-T	PKSF-1H	2.0	47.8	-16.6	0	0	0	0	2	273	This study	shoemake 2024-07-19 12:12:21	LT-NO:LP-DIR-T	g	785	u	8	273			pmagpy-4.3.7	4.42e-05	1e-06	9.55e-07	8.84e-07	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-320	PKSF-1H_LP-DIR-T	PKSF-1H	2.2	45.3	-16.7	0	0	0	0	3	77	This study	shoemake 2024-08-02 20:47:18	LT-LT-Z:LP-DIR-T	g	786	u	8	273			pmagpy-4.3.7	4.1e-05	1.19e-06	1.02e-06	2.48e-07	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-321	PKSF-1H_LP-DIR-T	PKSF-1H	2.4	47.0	-16.8	0	0	0	0	4	77	This study	shoemake 2024-08-13 17:28:42	LT-LT-Z:LP-DIR-T	g	787	u	8	273			pmagpy-4.3.7	4.07e-05	1.14e-06	1.31e-06	3.29e-07	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-322	PKSF-1H_LP-DIR-T	PKSF-1H	2.1	47.2	-15.4	0	0	0	0	5	343	This study	shoemake 2024-08-14 19:35:57	LT-T-Z:LP-DIR-T	g	788	u	8	273			pmagpy-4.3.7	2.78e-05	8.52e-07	5.92e-07	2.2e-07	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-323	PKSF-1H_LP-DIR-T	PKSF-1H	9.2	49.9	-16.0	0	0	0	0	6	373	This study	shoemake 2025-07-09 19:01:31	LT-T-Z:LP-DIR-T	g	789	u	8	273			pmagpy-4.3.7	2.86e-05	3.55e-06	2.99e-06	1.32e-07	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-324	PKSF-1H_LP-DIR-T	PKSF-1H	1.6	50.8	-14.5	0	0	0	0	7	433	This study	shoemake 2025-07-11 19:43:29	LT-T-Z:LP-DIR-T	g	790	u	8	273			pmagpy-4.3.7	2.44e-05	5.79e-07	4.18e-07	1.29e-07	PKSF-1	PKSF	PKSF
PKSF-1H_LP-DIR-T-325	PKSF-1H_LP-DIR-T	PKSF-1H	8.1	43.2	-9.4	0	0	0	0	8	483	This study	shoemake 2025-07-17 13:22:18	LT-T-Z:LP-DIR-T	g	791	u	8	273			pmagpy-4.3.7	1.61e-05	1.7e-06	1.55e-06	1.08e-07	PKSF-1	PKSF	PKSF
PKSF-1I_LP-DIR-T-326	PKSF-1I_LP-DIR-T	PKSF-1I	3.8	53.0	-15.5	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:26:50	LT-NO:LP-DIR-T	g	792	u	8	273			pmagpy-4.3.7	4.14e-05	2.12e-06	1.7e-06	5.33e-07	PKSF-1	PKSF	PKSF
PKSF-1I_LP-DIR-T-327	PKSF-1I_LP-DIR-T	PKSF-1I	3.5	51.3	-15.3	0	0	0	0	1	273	This study	shoemake 2024-07-18 18:51:00	LT-NO:LP-DIR-T	g	793	u	8	273			pmagpy-4.3.7	4.17e-05	1.94e-06	1.48e-06	8.46e-07	PKSF-1	PKSF	PKSF
PKSF-1I_LP-DIR-T-328	PKSF-1I_LP-DIR-T	PKSF-1I	6.2	53.3	-15.6	0	0	0	0	2	77	This study	shoemake 2024-08-02 20:49:23	LT-LT-Z:LP-DIR-T	g	794	u	8	273			pmagpy-4.3.7	3.84e-05	3.45e-06	2.36e-06	3.57e-07	PKSF-1	PKSF	PKSF
PKSF-1I_LP-DIR-T-329	PKSF-1I_LP-DIR-T	PKSF-1I	9.4	53.7	-15.8	0	0	0	0	3	77	This study	shoemake 2024-08-13 17:31:10	LT-LT-Z:LP-DIR-T	g	795	u	8	273			pmagpy-4.3.7	3.79e-05	5.01e-06	3.84e-06	3.83e-07	PKSF-1	PKSF	PKSF
PKSF-1I_LP-DIR-T-330	PKSF-1I_LP-DIR-T	PKSF-1I	6.8	55.2	-14.3	0	0	0	0	4	343	This study	shoemake 2024-08-14 19:38:22	LT-T-Z:LP-DIR-T	g	796	u	8	273			pmagpy-4.3.7	2.57e-05	2.59e-06	1.62e-06	2.09e-07	PKSF-1	PKSF	PKSF
PKSF-1I_LP-DIR-T-331	PKSF-1I_LP-DIR-T	PKSF-1I	8.0	49.1	-14.8	0	0	0	0	5	373	This study	shoemake 2025-07-09 19:03:58	LT-T-Z:LP-DIR-T	g	797	u	8	273			pmagpy-4.3.7	2.66e-05	2.84e-06	2.44e-06	1.04e-07	PKSF-1	PKSF	PKSF
PKSF-1I_LP-DIR-T-332	PKSF-1I_LP-DIR-T	PKSF-1I	3.4	52.5	-13.4	0	0	0	0	6	433	This study	shoemake 2025-07-11 19:45:54	LT-T-Z:LP-DIR-T	g	798	u	8	273			pmagpy-4.3.7	2.19e-05	1.13e-06	6.69e-07	1.18e-07	PKSF-1	PKSF	PKSF
PKSF-1I_LP-DIR-T-333	PKSF-1I_LP-DIR-T	PKSF-1I	6.0	47.0	-8.2	0	0	0	0	7	483	This study	shoemake 2025-07-17 13:24:47	LT-T-Z:LP-DIR-T	g	799	u	8	273			pmagpy-4.3.7	1.44e-05	1.23e-06	9.11e-07	5.69e-08	PKSF-1	PKSF	PKSF
PKSF-1J_LP-DIR-T-334	PKSF-1J_LP-DIR-T	PKSF-1J	1.0	47.2	-13.6	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:28:55	LT-NO:LP-DIR-T	g	800	u	8	273			pmagpy-4.3.7	4.61e-05	3.86e-07	4.28e-07	6.4e-07	PKSF-1	PKSF	PKSF
PKSF-1J_LP-DIR-T-335	PKSF-1J_LP-DIR-T	PKSF-1J	1.4	43.5	-14.2	0	0	0	0	1	273	This study	shoemake 2024-07-18 18:53:44	LT-NO:LP-DIR-T	g	801	u	8	273			pmagpy-4.3.7	4.65e-05	7.06e-07	5.93e-07	9.41e-07	PKSF-1	PKSF	PKSF
PKSF-1J_LP-DIR-T-336	PKSF-1J_LP-DIR-T	PKSF-1J	7.3	51.2	-13.9	0	0	0	0	2	77	This study	shoemake 2024-08-02 20:51:27	LT-LT-Z:LP-DIR-T	g	802	u	8	273			pmagpy-4.3.7	4.28e-05	4.34e-06	3.37e-06	2.63e-07	PKSF-1	PKSF	PKSF
PKSF-1J_LP-DIR-T-337	PKSF-1J_LP-DIR-T	PKSF-1J	1.8	49.7	-14.0	0	0	0	0	3	77	This study	shoemake 2024-08-13 17:33:39	LT-LT-Z:LP-DIR-T	g	803	u	8	273			pmagpy-4.3.7	4.22e-05	9.45e-07	8.51e-07	3.81e-07	PKSF-1	PKSF	PKSF
PKSF-1J_LP-DIR-T-338	PKSF-1J_LP-DIR-T	PKSF-1J	3.1	47.9	-12.8	0	0	0	0	4	343	This study	shoemake 2024-08-14 19:40:47	LT-T-Z:LP-DIR-T	g	804	u	8	273			pmagpy-4.3.7	2.83e-05	1.21e-06	9.12e-07	2.23e-07	PKSF-1	PKSF	PKSF
PKSF-1J_LP-DIR-T-339	PKSF-1J_LP-DIR-T	PKSF-1J	3.9	44.7	-13.1	0	0	0	0	5	373	This study	shoemake 2025-07-09 19:06:22	LT-T-Z:LP-DIR-T	g	805	u	8	273			pmagpy-4.3.7	2.94e-05	1.42e-06	1.46e-06	1.16e-07	PKSF-1	PKSF	PKSF
PKSF-1J_LP-DIR-T-340	PKSF-1J_LP-DIR-T	PKSF-1J	4.3	44.8	-12.1	0	0	0	0	6	433	This study	shoemake 2025-07-11 19:48:21	LT-T-Z:LP-DIR-T	g	806	u	8	273			pmagpy-4.3.7	2.33e-05	1.29e-06	1.22e-06	1e-07	PKSF-1	PKSF	PKSF
PKSF-1J_LP-DIR-T-341	PKSF-1J_LP-DIR-T	PKSF-1J	5.8	45.6	-6.6	0	0	0	0	7	483	This study	shoemake 2025-07-17 13:27:13	LT-T-Z:LP-DIR-T	g	807	u	8	273			pmagpy-4.3.7	1.55e-05	1.24e-06	9.98e-07	7.83e-08	PKSF-1	PKSF	PKSF
PKSF-1K_LP-DIR-T-342	PKSF-1K_LP-DIR-T	PKSF-1K	4.7	53.3	-12.4	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:31:00	LT-NO:LP-DIR-T	g	808	u	8	273			pmagpy-4.3.7	5.41e-05	3.42e-06	2.74e-06	9.6e-07	PKSF-1	PKSF	PKSF
PKSF-1K_LP-DIR-T-343	PKSF-1K_LP-DIR-T	PKSF-1K	1.6	51.2	-12.6	0	0	0	0	1	273	This study	shoemake 2024-07-18 18:56:28	LT-NO:LP-DIR-T	g	809	u	8	273			pmagpy-4.3.7	5.49e-05	9.22e-07	5.67e-07	1.31e-06	PKSF-1	PKSF	PKSF
PKSF-1K_LP-DIR-T-344	PKSF-1K_LP-DIR-T	PKSF-1K	2.3	50.3	-12.7	0	0	0	0	2	77	This study	shoemake 2024-08-02 20:53:31	LT-LT-Z:LP-DIR-T	g	810	u	8	273			pmagpy-4.3.7	5.08e-05	1.49e-06	1.36e-06	3.27e-07	PKSF-1	PKSF	PKSF
PKSF-1K_LP-DIR-T-345	PKSF-1K_LP-DIR-T	PKSF-1K	0.8	53.3	-12.8	0	0	0	0	3	77	This study	shoemake 2024-08-13 17:36:10	LT-LT-Z:LP-DIR-T	g	811	u	8	273			pmagpy-4.3.7	5e-05	4.6e-07	4.29e-07	3.81e-07	PKSF-1	PKSF	PKSF
PKSF-1K_LP-DIR-T-346	PKSF-1K_LP-DIR-T	PKSF-1K	3.2	56.2	-11.6	0	0	0	0	4	343	This study	shoemake 2024-08-14 19:43:14	LT-T-Z:LP-DIR-T	g	812	u	8	273			pmagpy-4.3.7	3.33e-05	1.63e-06	9.6e-07	2.76e-07	PKSF-1	PKSF	PKSF
PKSF-1K_LP-DIR-T-347	PKSF-1K_LP-DIR-T	PKSF-1K	10.4	57.3	-12.1	0	0	0	0	5	373	This study	shoemake 2025-07-09 19:08:47	LT-T-Z:LP-DIR-T	g	813	u	8	273			pmagpy-4.3.7	3.4e-05	5.24e-06	3.39e-06	1.72e-07	PKSF-1	PKSF	PKSF
PKSF-1K_LP-DIR-T-348	PKSF-1K_LP-DIR-T	PKSF-1K	6.7	49.6	-10.6	0	0	0	0	6	433	This study	shoemake 2025-07-11 19:50:46	LT-T-Z:LP-DIR-T	g	814	u	8	273			pmagpy-4.3.7	2.63e-05	2.41e-06	1.98e-06	1.37e-07	PKSF-1	PKSF	PKSF
PKSF-1K_LP-DIR-T-349	PKSF-1K_LP-DIR-T	PKSF-1K	1.5	56.5	-4.7	0	0	0	0	7	483	This study	shoemake 2025-07-17 13:29:41	LT-T-Z:LP-DIR-T	g	815	u	8	273			pmagpy-4.3.7	1.76e-05	3.03e-07	3.98e-07	1.4e-07	PKSF-1	PKSF	PKSF
PKSF-1L_LP-DIR-T-350	PKSF-1L_LP-DIR-T	PKSF-1L	2.0	49.5	-14.3	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:33:05	LT-NO:LP-DIR-T	g	816	u	8	273			pmagpy-4.3.7	3.94e-05	6.95e-07	9.75e-07	7.7e-07	PKSF-1	PKSF	PKSF
PKSF-1L_LP-DIR-T-351	PKSF-1L_LP-DIR-T	PKSF-1L	2.0	48.2	-14.8	0	0	0	0	1	273	This study	shoemake 2024-07-18 18:59:11	LT-NO:LP-DIR-T	g	817	u	8	273			pmagpy-4.3.7	3.99e-05	9.22e-07	6.44e-07	9.45e-07	PKSF-1	PKSF	PKSF
PKSF-1L_LP-DIR-T-352	PKSF-1L_LP-DIR-T	PKSF-1L	1.0	52.8	-13.1	0	0	0	0	2	77	This study	shoemake 2024-08-02 20:55:34	LT-LT-Z:LP-DIR-T	g	818	u	8	273			pmagpy-4.3.7	3.66e-05	3.33e-07	2.76e-07	5.09e-07	PKSF-1	PKSF	PKSF
PKSF-1L_LP-DIR-T-353	PKSF-1L_LP-DIR-T	PKSF-1L	7.2	56.7	-13.1	0	0	0	0	3	77	This study	shoemake 2024-08-13 17:38:42	LT-LT-Z:LP-DIR-T	g	819	u	8	273			pmagpy-4.3.7	3.57e-05	3.8e-06	2.4e-06	5.4e-07	PKSF-1	PKSF	PKSF
PKSF-1L_LP-DIR-T-354	PKSF-1L_LP-DIR-T	PKSF-1L	2.5	53.7	-10.8	0	0	0	0	4	343	This study	shoemake 2024-08-14 19:45:40	LT-T-Z:LP-DIR-T	g	820	u	8	273			pmagpy-4.3.7	2.38e-05	8.89e-07	4.5e-07	3.17e-07	PKSF-1	PKSF	PKSF
PKSF-1L_LP-DIR-T-355	PKSF-1L_LP-DIR-T	PKSF-1L	7.3	47.5	-11.4	0	0	0	0	5	373	This study	shoemake 2025-07-09 19:11:13	LT-T-Z:LP-DIR-T	g	821	u	8	273			pmagpy-4.3.7	2.45e-05	2.35e-06	2.06e-06	2.75e-07	PKSF-1	PKSF	PKSF
PKSF-1L_LP-DIR-T-356	PKSF-1L_LP-DIR-T	PKSF-1L	6.0	46.1	-8.6	0	0	0	0	6	433	This study	shoemake 2025-07-11 19:53:13	LT-T-Z:LP-DIR-T	g	822	u	8	273			pmagpy-4.3.7	1.86e-05	1.48e-06	1.31e-06	1.86e-07	PKSF-1	PKSF	PKSF
PKSF-1L_LP-DIR-T-358	PKSF-1L_LP-DIR-T	PKSF-1L	7.9	50.3	-3.0	0	0	0	0	8	483	This study	shoemake 2025-07-17 18:05:51	LT-T-Z:LP-DIR-T	g	824	u	8	273			pmagpy-4.3.7	1.24e-05	1.34e-06	1.09e-06	1.43e-07	PKSF-1	PKSF	PKSF
PKSF-2A_LP-DIR-T-359	PKSF-2A_LP-DIR-T	PKSF-2A	2.4	154.4	66.7	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:35:12	LT-NO:LP-DIR-T	g	825	u	8	273			pmagpy-4.3.7	1.76e-05	5.59e-07	4.76e-07	1.35e-07	PKSF-2	PKSF	PKSF
PKSF-2A_LP-DIR-T-360	PKSF-2A_LP-DIR-T	PKSF-2A	3.8	157.0	67.0	0	0	0	0	1	273	This study	shoemake 2024-07-18 19:01:57	LT-NO:LP-DIR-T	g	826	u	8	273			pmagpy-4.3.7	1.8e-05	7.74e-07	9.03e-07	1.93e-07	PKSF-2	PKSF	PKSF
PKSF-2A_LP-DIR-T-361	PKSF-2A_LP-DIR-T	PKSF-2A	1.4	154.9	66.6	0	0	0	0	2	77	This study	shoemake 2024-08-02 20:57:42	LT-LT-Z:LP-DIR-T	g	827	u	8	273			pmagpy-4.3.7	1.74e-05	2.29e-07	3.48e-07	1.34e-07	PKSF-2	PKSF	PKSF
PKSF-2A_LP-DIR-T-362	PKSF-2A_LP-DIR-T	PKSF-2A	2.2	154.8	66.6	0	0	0	0	3	77	This study	shoemake 2024-08-13 17:41:16	LT-LT-Z:LP-DIR-T	g	828	u	8	273			pmagpy-4.3.7	1.73e-05	1.67e-07	6.21e-07	1.52e-07	PKSF-2	PKSF	PKSF
PKSF-2A_LP-DIR-T-363	PKSF-2A_LP-DIR-T	PKSF-2A	1.5	153.4	66.5	0	0	0	0	4	343	This study	shoemake 2024-08-14 19:48:10	LT-T-Z:LP-DIR-T	g	829	u	8	273			pmagpy-4.3.7	1.51e-05	3.44e-07	1.75e-07	7.91e-08	PKSF-2	PKSF	PKSF
PKSF-2A_LP-DIR-T-366	PKSF-2A_LP-DIR-T	PKSF-2A	2.7	147.7	66.7	0	0	0	0	7	373	This study	shoemake 2025-07-10 15:00:11	LT-T-Z:LP-DIR-T	g	832	u	8	273			pmagpy-4.3.7	1.59e-05	3.63e-07	6.73e-07	1.03e-07	PKSF-2	PKSF	PKSF
PKSF-2A_LP-DIR-T-367	PKSF-2A_LP-DIR-T	PKSF-2A	2.0	139.7	67.6	0	0	0	0	8	433	This study	shoemake 2025-07-11 19:55:42	LT-T-Z:LP-DIR-T	g	833	u	8	273			pmagpy-4.3.7	1.11e-05	2.99e-07	2.5e-07	4.89e-08	PKSF-2	PKSF	PKSF
PKSF-2A_LP-DIR-T-368	PKSF-2A_LP-DIR-T	PKSF-2A	2.8	137.2	69.6	0	0	0	0	9	483	This study	shoemake 2025-07-17 13:34:36	LT-T-Z:LP-DIR-T	g	834	u	8	273			pmagpy-4.3.7	6.02e-06	1.51e-07	2.61e-07	2.77e-08	PKSF-2	PKSF	PKSF
PKSF-2B_LP-DIR-T-369	PKSF-2B_LP-DIR-T	PKSF-2B	2.8	162.0	63.3	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:37:21	LT-NO:LP-DIR-T	g	835	u	8	273			pmagpy-4.3.7	5.4e-05	1.62e-06	2.02e-06	4.96e-07	PKSF-2	PKSF	PKSF
PKSF-2B_LP-DIR-T-370	PKSF-2B_LP-DIR-T	PKSF-2B	3.0	156.4	63.6	0	0	0	0	1	273	This study	shoemake 2024-07-18 19:04:45	LT-NO:LP-DIR-T	g	836	u	8	273			pmagpy-4.3.7	5.53e-05	1.98e-06	2.08e-06	5.56e-07	PKSF-2	PKSF	PKSF
PKSF-2B_LP-DIR-T-371	PKSF-2B_LP-DIR-T	PKSF-2B	1.5	161.7	63.3	0	0	0	0	2	77	This study	shoemake 2024-08-02 20:59:49	LT-LT-Z:LP-DIR-T	g	837	u	8	273			pmagpy-4.3.7	5.26e-05	4.38e-07	1.27e-06	2.34e-07	PKSF-2	PKSF	PKSF
PKSF-2B_LP-DIR-T-372	PKSF-2B_LP-DIR-T	PKSF-2B	1.7	160.1	63.4	0	0	0	0	3	77	This study	shoemake 2024-08-13 17:43:51	LT-LT-Z:LP-DIR-T	g	838	u	8	273			pmagpy-4.3.7	5.27e-05	5e-07	1.43e-06	2.5e-07	PKSF-2	PKSF	PKSF
PKSF-2B_LP-DIR-T-373	PKSF-2B_LP-DIR-T	PKSF-2B	2.1	162.8	63.4	0	0	0	0	4	343	This study	shoemake 2024-08-14 19:50:40	LT-T-Z:LP-DIR-T	g	839	u	8	273			pmagpy-4.3.7	4.33e-05	4.47e-07	1.49e-06	1.91e-07	PKSF-2	PKSF	PKSF
PKSF-2B_LP-DIR-T-374	PKSF-2B_LP-DIR-T	PKSF-2B	3.0	162.2	63.9	0	0	0	0	5	373	This study	shoemake 2025-07-09 19:16:08	LT-T-Z:LP-DIR-T	g	840	u	8	273			pmagpy-4.3.7	4.54e-05	9.97e-07	2.19e-06	1.37e-07	PKSF-2	PKSF	PKSF
PKSF-2B_LP-DIR-T-375	PKSF-2B_LP-DIR-T	PKSF-2B	4.0	156.6	66.5	0	0	0	0	6	433	This study	shoemake 2025-07-11 19:58:13	LT-T-Z:LP-DIR-T	g	841	u	8	273			pmagpy-4.3.7	2.89e-05	8.88e-07	1.86e-06	9.92e-08	PKSF-2	PKSF	PKSF
PKSF-2B_LP-DIR-T-376	PKSF-2B_LP-DIR-T	PKSF-2B	2.6	148.1	68.0	0	0	0	0	7	483	This study	shoemake 2025-07-17 13:37:06	LT-T-Z:LP-DIR-T	g	842	u	8	273			pmagpy-4.3.7	1.55e-05	4.22e-07	5.83e-07	5.63e-08	PKSF-2	PKSF	PKSF
PKSF-2C_LP-DIR-T-377	PKSF-2C_LP-DIR-T	PKSF-2C	2.4	168.1	61.4	0	0	0	0	0	273	This study	shoemake 2024-07-17 14:39:32	LT-NO:LP-DIR-T	g	843	u	8	273			pmagpy-4.3.7	6.03e-05	1.55e-06	1.95e-06	5.95e-07	PKSF-2	PKSF	PKSF
