tab	measurements																									
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		4.3	44.8	-12.1	PKSF-1J_LP-DIR-T	shoemake 2025-07-11 19:48:21	2.33E-05	1.29E-06	1.22E-06	1.00E-07	8	273	PKSF-1J_LP-DIR-T-340	LT-T-Z:LP-DIR-T	g	806	pmagpy-4.3.7	PKSF-1J	u	0	0	0	0	6	433
	This study		5.8	45.6	-6.6	PKSF-1J_LP-DIR-T	shoemake 2025-07-17 13:27:13	1.55E-05	1.24E-06	9.98E-07	7.83E-08	8	273	PKSF-1J_LP-DIR-T-341	LT-T-Z:LP-DIR-T	g	807	pmagpy-4.3.7	PKSF-1J	u	0	0	0	0	7	483
	This study		4.7	53.3	-12.4	PKSF-1K_LP-DIR-T	shoemake 2024-07-17 14:31:00	5.41E-05	3.42E-06	2.74E-06	9.60E-07	8	273	PKSF-1K_LP-DIR-T-342	LT-NO:LP-DIR-T	g	808	pmagpy-4.3.7	PKSF-1K	u	0	0	0	0	0	273
	This study		1.6	51.2	-12.6	PKSF-1K_LP-DIR-T	shoemake 2024-07-18 18:56:28	5.49E-05	9.22E-07	5.67E-07	1.31E-06	8	273	PKSF-1K_LP-DIR-T-343	LT-NO:LP-DIR-T	g	809	pmagpy-4.3.7	PKSF-1K	u	0	0	0	0	1	273
	This study		2.3	50.3	-12.7	PKSF-1K_LP-DIR-T	shoemake 2024-08-02 20:53:31	5.08E-05	1.49E-06	1.36E-06	3.27E-07	8	273	PKSF-1K_LP-DIR-T-344	LT-LT-Z:LP-DIR-T	g	810	pmagpy-4.3.7	PKSF-1K	u	0	0	0	0	2	77
	This study		0.8	53.3	-12.8	PKSF-1K_LP-DIR-T	shoemake 2024-08-13 17:36:10	5.00E-05	4.60E-07	4.29E-07	3.81E-07	8	273	PKSF-1K_LP-DIR-T-345	LT-LT-Z:LP-DIR-T	g	811	pmagpy-4.3.7	PKSF-1K	u	0	0	0	0	3	77
	This study		3.2	56.2	-11.6	PKSF-1K_LP-DIR-T	shoemake 2024-08-14 19:43:14	3.33E-05	1.63E-06	9.60E-07	2.76E-07	8	273	PKSF-1K_LP-DIR-T-346	LT-T-Z:LP-DIR-T	g	812	pmagpy-4.3.7	PKSF-1K	u	0	0	0	0	4	343
	This study		10.4	57.3	-12.1	PKSF-1K_LP-DIR-T	shoemake 2025-07-09 19:08:47	3.40E-05	5.24E-06	3.39E-06	1.72E-07	8	273	PKSF-1K_LP-DIR-T-347	LT-T-Z:LP-DIR-T	g	813	pmagpy-4.3.7	PKSF-1K	u	0	0	0	0	5	373
	This study		6.7	49.6	-10.6	PKSF-1K_LP-DIR-T	shoemake 2025-07-11 19:50:46	2.63E-05	2.41E-06	1.98E-06	1.37E-07	8	273	PKSF-1K_LP-DIR-T-348	LT-T-Z:LP-DIR-T	g	814	pmagpy-4.3.7	PKSF-1K	u	0	0	0	0	6	433
	This study		1.5	56.5	-4.7	PKSF-1K_LP-DIR-T	shoemake 2025-07-17 13:29:41	1.76E-05	3.03E-07	3.98E-07	1.40E-07	8	273	PKSF-1K_LP-DIR-T-349	LT-T-Z:LP-DIR-T	g	815	pmagpy-4.3.7	PKSF-1K	u	0	0	0	0	7	483
	This study		2	49.5	-14.3	PKSF-1L_LP-DIR-T	shoemake 2024-07-17 14:33:05	3.94E-05	6.95E-07	9.75E-07	7.70E-07	8	273	PKSF-1L_LP-DIR-T-350	LT-NO:LP-DIR-T	g	816	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	0	273
	This study		2	48.2	-14.8	PKSF-1L_LP-DIR-T	shoemake 2024-07-18 18:59:11	3.99E-05	9.22E-07	6.44E-07	9.45E-07	8	273	PKSF-1L_LP-DIR-T-351	LT-NO:LP-DIR-T	g	817	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	1	273
	This study		1	52.8	-13.1	PKSF-1L_LP-DIR-T	shoemake 2024-08-02 20:55:34	3.66E-05	3.33E-07	2.76E-07	5.09E-07	8	273	PKSF-1L_LP-DIR-T-352	LT-LT-Z:LP-DIR-T	g	818	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	2	77
	This study		7.2	56.7	-13.1	PKSF-1L_LP-DIR-T	shoemake 2024-08-13 17:38:42	3.57E-05	3.80E-06	2.40E-06	5.40E-07	8	273	PKSF-1L_LP-DIR-T-353	LT-LT-Z:LP-DIR-T	g	819	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	3	77
	This study		2.5	53.7	-10.8	PKSF-1L_LP-DIR-T	shoemake 2024-08-14 19:45:40	2.38E-05	8.89E-07	4.50E-07	3.17E-07	8	273	PKSF-1L_LP-DIR-T-354	LT-T-Z:LP-DIR-T	g	820	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	4	343
	This study		7.3	47.5	-11.4	PKSF-1L_LP-DIR-T	shoemake 2025-07-09 19:11:13	2.45E-05	2.35E-06	2.06E-06	2.75E-07	8	273	PKSF-1L_LP-DIR-T-355	LT-T-Z:LP-DIR-T	g	821	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	5	373
	This study		6	46.1	-8.6	PKSF-1L_LP-DIR-T	shoemake 2025-07-11 19:53:13	1.86E-05	1.48E-06	1.31E-06	1.86E-07	8	273	PKSF-1L_LP-DIR-T-356	LT-T-Z:LP-DIR-T	g	822	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	6	433
	This study		26.2	54.9	-3.2	PKSF-1L_LP-DIR-T	shoemake 2025-07-17 13:32:08	6.11E-06	3.75E-06	5.34E-06	3.67E-07	8	273	PKSF-1L_LP-DIR-T-357	LT-T-Z:LP-DIR-T	g	823	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	7	483
	This study		7.9	50.3	-3	PKSF-1L_LP-DIR-T	shoemake 2025-07-17 18:05:51	1.24E-05	1.34E-06	1.09E-06	1.43E-07	8	273	PKSF-1L_LP-DIR-T-358	LT-T-Z:LP-DIR-T	g	824	pmagpy-4.3.7	PKSF-1L	u	0	0	0	0	8	483
	This study		2.4	154.4	66.7	PKSF-2A_LP-DIR-T	shoemake 2024-07-17 14:35:12	1.76E-05	5.59E-07	4.76E-07	1.35E-07	8	273	PKSF-2A_LP-DIR-T-359	LT-NO:LP-DIR-T	g	825	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	0	273
	This study		3.8	157	67	PKSF-2A_LP-DIR-T	shoemake 2024-07-18 19:01:57	1.80E-05	7.74E-07	9.03E-07	1.93E-07	8	273	PKSF-2A_LP-DIR-T-360	LT-NO:LP-DIR-T	g	826	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	1	273
	This study		1.4	154.9	66.6	PKSF-2A_LP-DIR-T	shoemake 2024-08-02 20:57:42	1.74E-05	2.29E-07	3.48E-07	1.34E-07	8	273	PKSF-2A_LP-DIR-T-361	LT-LT-Z:LP-DIR-T	g	827	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	2	77
	This study		2.2	154.8	66.6	PKSF-2A_LP-DIR-T	shoemake 2024-08-13 17:41:16	1.73E-05	1.67E-07	6.21E-07	1.52E-07	8	273	PKSF-2A_LP-DIR-T-362	LT-LT-Z:LP-DIR-T	g	828	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	3	77
	This study		1.5	153.4	66.5	PKSF-2A_LP-DIR-T	shoemake 2024-08-14 19:48:10	1.51E-05	3.44E-07	1.75E-07	7.91E-08	8	273	PKSF-2A_LP-DIR-T-363	LT-T-Z:LP-DIR-T	g	829	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	4	343
	This study		47.3	159.5	67.4	PKSF-2A_LP-DIR-T	shoemake 2025-07-09 19:13:40	7.95E-06	3.06E-06	1.17E-06	7.85E-06	8	273	PKSF-2A_LP-DIR-T-364	LT-T-Z:LP-DIR-T	g	830	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	5	373
	This study		57.7	153.1	67	PKSF-2A_LP-DIR-T	shoemake 2025-07-10 14:29:07	7.96E-06	2.94E-06	1.51E-06	7.87E-06	8	273	PKSF-2A_LP-DIR-T-365	LT-T-Z:LP-DIR-T	g	831	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	6	373
	This study		2.7	147.7	66.7	PKSF-2A_LP-DIR-T	shoemake 2025-07-10 15:00:11	1.59E-05	3.63E-07	6.73E-07	1.03E-07	8	273	PKSF-2A_LP-DIR-T-366	LT-T-Z:LP-DIR-T	g	832	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	7	373
	This study		2	139.7	67.6	PKSF-2A_LP-DIR-T	shoemake 2025-07-11 19:55:42	1.11E-05	2.99E-07	2.50E-07	4.89E-08	8	273	PKSF-2A_LP-DIR-T-367	LT-T-Z:LP-DIR-T	g	833	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	8	433
	This study		2.8	137.2	69.6	PKSF-2A_LP-DIR-T	shoemake 2025-07-17 13:34:36	6.02E-06	1.51E-07	2.61E-07	2.77E-08	8	273	PKSF-2A_LP-DIR-T-368	LT-T-Z:LP-DIR-T	g	834	pmagpy-4.3.7	PKSF-2A	u	0	0	0	0	9	483
	This study		2.8	162	63.3	PKSF-2B_LP-DIR-T	shoemake 2024-07-17 14:37:21	5.40E-05	1.62E-06	2.02E-06	4.96E-07	8	273	PKSF-2B_LP-DIR-T-369	LT-NO:LP-DIR-T	g	835	pmagpy-4.3.7	PKSF-2B	u	0	0	0	0	0	273
	This study		3	156.4	63.6	PKSF-2B_LP-DIR-T	shoemake 2024-07-18 19:04:45	5.53E-05	1.98E-06	2.08E-06	5.56E-07	8	273	PKSF-2B_LP-DIR-T-370	LT-NO:LP-DIR-T	g	836	pmagpy-4.3.7	PKSF-2B	u	0	0	0	0	1	273
	This study		1.5	161.7	63.3	PKSF-2B_LP-DIR-T	shoemake 2024-08-02 20:59:49	5.26E-05	4.38E-07	1.27E-06	2.34E-07	8	273	PKSF-2B_LP-DIR-T-371	LT-LT-Z:LP-DIR-T	g	837	pmagpy-4.3.7	PKSF-2B	u	0	0	0	0	2	77
	This study		1.7	160.1	63.4	PKSF-2B_LP-DIR-T	shoemake 2024-08-13 17:43:51	5.27E-05	5.00E-07	1.43E-06	2.50E-07	8	273	PKSF-2B_LP-DIR-T-372	LT-LT-Z:LP-DIR-T	g	838	pmagpy-4.3.7	PKSF-2B	u	0	0	0	0	3	77
	This study		2.1	162.8	63.4	PKSF-2B_LP-DIR-T	shoemake 2024-08-14 19:50:40	4.33E-05	4.47E-07	1.49E-06	1.91E-07	8	273	PKSF-2B_LP-DIR-T-373	LT-T-Z:LP-DIR-T	g	839	pmagpy-4.3.7	PKSF-2B	u	0	0	0	0	4	343
	This study		3	162.2	63.9	PKSF-2B_LP-DIR-T	shoemake 2025-07-09 19:16:08	4.54E-05	9.97E-07	2.19E-06	1.37E-07	8	273	PKSF-2B_LP-DIR-T-374	LT-T-Z:LP-DIR-T	g	840	pmagpy-4.3.7	PKSF-2B	u	0	0	0	0	5	373
	This study		4	156.6	66.5	PKSF-2B_LP-DIR-T	shoemake 2025-07-11 19:58:13	2.89E-05	8.88E-07	1.86E-06	9.92E-08	8	273	PKSF-2B_LP-DIR-T-375	LT-T-Z:LP-DIR-T	g	841	pmagpy-4.3.7	PKSF-2B	u	0	0	0	0	6	433
	This study		2.6	148.1	68	PKSF-2B_LP-DIR-T	shoemake 2025-07-17 13:37:06	1.55E-05	4.22E-07	5.83E-07	5.63E-08	8	273	PKSF-2B_LP-DIR-T-376	LT-T-Z:LP-DIR-T	g	842	pmagpy-4.3.7	PKSF-2B	u	0	0	0	0	7	483
	This study		2.4	168.1	61.4	PKSF-2C_LP-DIR-T	shoemake 2024-07-17 14:39:32	6.03E-05	1.55E-06	1.95E-06	5.95E-07	8	273	PKSF-2C_LP-DIR-T-377	LT-NO:LP-DIR-T	g	843	pmagpy-4.3.7	PKSF-2C	u	0	0	0	0	0	273
	This study		2.9	170.8	61.3	PKSF-2C_LP-DIR-T	shoemake 2024-07-18 19:07:34	6.16E-05	2.12E-06	2.31E-06	6.29E-07	8	273	PKSF-2C_LP-DIR-T-378	LT-NO:LP-DIR-T	g	844	pmagpy-4.3.7	PKSF-2C	u	0	0	0	0	1	273
	This study		2	167.1	60.9	PKSF-2C_LP-DIR-T	shoemake 2024-08-02 21:01:58	5.82E-05	9.42E-07	1.79E-06	2.76E-07	8	273	PKSF-2C_LP-DIR-T-379	LT-LT-Z:LP-DIR-T	g	845	pmagpy-4.3.7	PKSF-2C	u	0	0	0	0	2	77
	This study		4.2	169.9	61.5	PKSF-2C_LP-DIR-T	shoemake 2024-08-13 17:46:22	5.82E-05	4.48E-07	4.23E-06	4.92E-07	8	273	PKSF-2C_LP-DIR-T-380	LT-LT-Z:LP-DIR-T	g	846	pmagpy-4.3.7	PKSF-2C	u	0	0	0	0	3	77
	This study		1.9	169.7	61.4	PKSF-2C_LP-DIR-T	shoemake 2024-08-14 19:53:08	4.63E-05	4.79E-07	1.44E-06	2.36E-07	8	273	PKSF-2C_LP-DIR-T-381	LT-T-Z:LP-DIR-T	g	847	pmagpy-4.3.7	PKSF-2C	u	0	0	0	0	4	343
	This study		4.9	167.6	62.3	PKSF-2C_LP-DIR-T	shoemake 2025-07-09 19:18:38	4.85E-05	1.14E-06	4.01E-06	1.80E-07	8	273	PKSF-2C_LP-DIR-T-382	LT-T-Z:LP-DIR-T	g	848	pmagpy-4.3.7	PKSF-2C	u	0	0	0	0	5	373
	This study		4.3	162.1	64.1	PKSF-2C_LP-DIR-T	shoemake 2025-07-11 20:00:44	3.03E-05	7.75E-07	2.12E-06	1.21E-07	8	273	PKSF-2C_LP-DIR-T-383	LT-T-Z:LP-DIR-T	g	849	pmagpy-4.3.7	PKSF-2C	u	0	0	0	0	6	433
	This study		4.5	164.8	65.7	PKSF-2C_LP-DIR-T	shoemake 2025-07-17 13:39:38	1.66E-05	4.18E-07	1.25E-06	7.04E-08	8	273	PKSF-2C_LP-DIR-T-384	LT-T-Z:LP-DIR-T	g	850	pmagpy-4.3.7	PKSF-2C	u	0	0	0	0	7	483
	This study		1.8	171.1	60.1	PKSF-2D_LP-DIR-T	shoemake 2024-07-17 14:41:40	7.02E-05	1.52E-06	1.54E-06	5.79E-07	8	273	PKSF-2D_LP-DIR-T-385	LT-NO:LP-DIR-T	g	851	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	0	273
	This study		2.9	168	60.1	PKSF-2D_LP-DIR-T	shoemake 2024-07-18 19:10:22	7.11E-05	2.42E-06	2.58E-06	6.98E-07	8	273	PKSF-2D_LP-DIR-T-386	LT-NO:LP-DIR-T	g	852	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	1	273
	This study		1.3	169	59.5	PKSF-2D_LP-DIR-T	shoemake 2024-08-02 21:04:06	6.77E-05	8.65E-07	1.28E-06	2.87E-07	8	273	PKSF-2D_LP-DIR-T-387	LT-LT-Z:LP-DIR-T	g	853	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	2	77
	This study		0.9	176.1	59.4	PKSF-2D_LP-DIR-T	shoemake 2024-08-13 17:48:52	6.68E-05	6.97E-07	8.69E-07	3.65E-07	8	273	PKSF-2D_LP-DIR-T-388	LT-LT-Z:LP-DIR-T	g	854	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	3	77
	This study		1.1	177.3	59.9	PKSF-2D_LP-DIR-T	shoemake 2024-08-14 19:55:34	5.20E-05	6.32E-07	8.01E-07	2.44E-07	8	273	PKSF-2D_LP-DIR-T-389	LT-T-Z:LP-DIR-T	g	855	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	4	343
	This study		4.4	171.6	60.5	PKSF-2D_LP-DIR-T	shoemake 2025-07-09 19:21:09	5.43E-05	1.08E-06	4.09E-06	1.68E-07	8	273	PKSF-2D_LP-DIR-T-390	LT-T-Z:LP-DIR-T	g	856	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	5	373
	This study		3.5	172.4	63.1	PKSF-2D_LP-DIR-T	shoemake 2025-07-11 20:03:13	3.27E-05	6.35E-07	1.91E-06	9.59E-08	8	273	PKSF-2D_LP-DIR-T-391	LT-T-Z:LP-DIR-T	g	857	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	6	433
	This study		75.4	164.4	64.4	PKSF-2D_LP-DIR-T	shoemake 2025-07-17 13:42:08	8.86E-06	3.95E-06	1.13E-06	8.55E-06	8	273	PKSF-2D_LP-DIR-T-392	LT-T-Z:LP-DIR-T	g	858	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	7	483
	This study		3.4	177	64.7	PKSF-2D_LP-DIR-T	shoemake 2025-07-17 18:08:21	1.77E-05	3.41E-07	1.00E-06	6.99E-08	8	273	PKSF-2D_LP-DIR-T-393	LT-T-Z:LP-DIR-T	g	859	pmagpy-4.3.7	PKSF-2D	u	0	0	0	0	8	483
	This study		2	178.1	58.7	PKSF-2E_LP-DIR-T	shoemake 2024-07-17 14:43:49	6.48E-05	1.65E-06	1.58E-06	7.66E-07	8	273	PKSF-2E_LP-DIR-T-394	LT-NO:LP-DIR-T	g	860	pmagpy-4.3.7	PKSF-2E	u	0	0	0	0	0	273
	This study		3.4	178.6	58.8	PKSF-2E_LP-DIR-T	shoemake 2024-07-18 19:13:10	6.60E-05	2.36E-06	3.13E-06	8.51E-07	8	273	PKSF-2E_LP-DIR-T-395	LT-NO:LP-DIR-T	g	861	pmagpy-4.3.7	PKSF-2E	u	0	0	0	0	1	273
	This study		2.4	181.9	58.3	PKSF-2E_LP-DIR-T	shoemake 2024-08-02 21:33:35	6.21E-05	1.12E-06	2.35E-06	6.01E-07	8	273	PKSF-2E_LP-DIR-T-396	LT-LT-Z:LP-DIR-T	g	862	pmagpy-4.3.7	PKSF-2E	u	0	0	0	0	2	77
	This study		1.1	181.8	58.2	PKSF-2E_LP-DIR-T	shoemake 2024-08-13 17:51:20	6.20E-05	1.10E-06	5.63E-07	3.24E-07	8	273	PKSF-2E_LP-DIR-T-397	LT-LT-Z:LP-DIR-T	g	863	pmagpy-4.3.7	PKSF-2E	u	0	0	0	0	3	77
	This study		1.9	180.1	58.7	PKSF-2E_LP-DIR-T	shoemake 2024-08-14 19:57:59	4.73E-05	9.28E-07	1.27E-06	3.59E-07	8	273	PKSF-2E_LP-DIR-T-398	LT-T-Z:LP-DIR-T	g	864	pmagpy-4.3.7	PKSF-2E	u	0	0	0	0	4	343
	This study		8.2	174.5	60	PKSF-2E_LP-DIR-T	shoemake 2025-07-09 19:23:38	4.90E-05	9.53E-07	7.01E-06	2.23E-07	8	273	PKSF-2E_LP-DIR-T-399	LT-T-Z:LP-DIR-T	g	865	pmagpy-4.3.7	PKSF-2E	u	0	0	0	0	5	373
	This study		6.1	176.4	62.3	PKSF-2E_LP-DIR-T	shoemake 2025-07-11 20:05:39	2.84E-05	5.23E-07	3.00E-06	1.11E-07	8	273	PKSF-2E_LP-DIR-T-400	LT-T-Z:LP-DIR-T	g	866	pmagpy-4.3.7	PKSF-2E	u	0	0	0	0	6	433
	This study		5.5	181	64.4	PKSF-2E_LP-DIR-T	shoemake 2025-07-17 13:44:38	1.47E-05	3.23E-07	1.38E-06	6.31E-08	8	273	PKSF-2E_LP-DIR-T-401	LT-T-Z:LP-DIR-T	g	867	pmagpy-4.3.7	PKSF-2E	u	0	0	0	0	7	483
	This study		4.8	198.7	-57.5	PKSF-2F_LP-DIR-T	shoemake 2024-07-17 14:45:55	7.54E-05	2.88E-06	5.62E-06	9.79E-07	8	273	PKSF-2F_LP-DIR-T-402	LT-NO:LP-DIR-T	g	868	pmagpy-4.3.7	PKSF-2F	u	0	0	0	0	0	273
	This study		2.7	196	-57.1	PKSF-2F_LP-DIR-T	shoemake 2024-07-18 19:15:55	7.68E-05	2.53E-06	2.54E-06	9.34E-07	8	273	PKSF-2F_LP-DIR-T-403	LT-NO:LP-DIR-T	g	869	pmagpy-4.3.7	PKSF-2F	u	0	0	0	0	1	273
	This study		1.2	200.1	-56.6	PKSF-2F_LP-DIR-T	shoemake 2024-08-02 21:35:41	7.23E-05	7.74E-07	1.10E-06	6.80E-07	8	273	PKSF-2F_LP-DIR-T-404	LT-LT-Z:LP-DIR-T	g	870	pmagpy-4.3.7	PKSF-2F	u	0	0	0	0	2	77
	This study		1.2	196	-56.7	PKSF-2F_LP-DIR-T	shoemake 2024-08-13 17:53:48	7.20E-05	6.23E-07	1.17E-06	8.25E-07	8	273	PKSF-2F_LP-DIR-T-405	LT-LT-Z:LP-DIR-T	g	871	pmagpy-4.3.7	PKSF-2F	u	0	0	0	0	3	77
	This study		1.2	194.6	-57.1	PKSF-2F_LP-DIR-T	shoemake 2024-08-14 20:00:24	5.46E-05	5.80E-07	8.57E-07	5.55E-07	8	273	PKSF-2F_LP-DIR-T-406	LT-T-Z:LP-DIR-T	g	872	pmagpy-4.3.7	PKSF-2F	u	0	0	0	0	4	343
	This study		3.9	195	-57.5	PKSF-2F_LP-DIR-T	shoemake 2025-07-09 19:26:04	5.69E-05	1.20E-06	3.77E-06	2.47E-07	8	273	PKSF-2F_LP-DIR-T-407	LT-T-Z:LP-DIR-T	g	873	pmagpy-4.3.7	PKSF-2F	u	0	0	0	0	5	373
	This study		3.6	191.3	-59.9	PKSF-2F_LP-DIR-T	shoemake 2025-07-11 20:08:05	3.08E-05	6.12E-07	1.85E-06	1.96E-07	8	273	PKSF-2F_LP-DIR-T-408	LT-T-Z:LP-DIR-T	g	874	pmagpy-4.3.7	PKSF-2F	u	0	0	0	0	6	433
	This study		4.6	185.6	-62.5	PKSF-2F_LP-DIR-T	shoemake 2025-07-17 13:47:07	1.52E-05	3.02E-07	1.20E-06	1.54E-07	8	273	PKSF-2F_LP-DIR-T-409	LT-T-Z:LP-DIR-T	g	875	pmagpy-4.3.7	PKSF-2F	u	0	0	0	0	7	483
	This study		2.3	79	55.1	PKSF-2G_LP-DIR-T	shoemake 2024-07-17 14:48:00	6.50E-05	2.07E-06	1.56E-06	7.76E-07	8	273	PKSF-2G_LP-DIR-T-410	LT-NO:LP-DIR-T	g	876	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	0	273
	This study		3.1	70.5	55.4	PKSF-2G_LP-DIR-T	shoemake 2024-07-18 19:18:39	6.62E-05	2.68E-06	2.26E-06	7.88E-07	8	273	PKSF-2G_LP-DIR-T-411	LT-NO:LP-DIR-T	g	877	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	1	273
	This study		1.4	73.4	54.8	PKSF-2G_LP-DIR-T	shoemake 2024-08-02 21:37:45	6.27E-05	1.44E-06	5.48E-07	2.79E-07	8	273	PKSF-2G_LP-DIR-T-412	LT-LT-Z:LP-DIR-T	g	878	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	2	77
	This study		4	73.6	55	PKSF-2G_LP-DIR-T	shoemake 2024-08-13 17:56:17	6.21E-05	4.14E-06	1.15E-06	3.78E-07	8	273	PKSF-2G_LP-DIR-T-413	LT-LT-Z:LP-DIR-T	g	879	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	3	77
	This study		1.1	70.7	54.9	PKSF-2G_LP-DIR-T	shoemake 2024-08-14 20:02:49	4.72E-05	4.82E-07	7.32E-07	2.76E-07	8	273	PKSF-2G_LP-DIR-T-414	LT-T-Z:LP-DIR-T	g	880	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	4	343
	This study		82.4	359.4	0.1	PKSF-2G_LP-DIR-T	shoemake 2025-07-09 19:28:29	4.69E-06	1.01E-06	2.93E-05	4.37E-05	8	273	PKSF-2G_LP-DIR-T-415	LT-T-Z:LP-DIR-T	g	881	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	5	373
	This study		73.3	74.2	55.8	PKSF-2G_LP-DIR-T	shoemake 2025-07-10 14:31:40	2.47E-05	4.11E-06	1.43E-05	2.19E-05	8	273	PKSF-2G_LP-DIR-T-416	LT-T-Z:LP-DIR-T	g	882	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	6	373
	This study		10.1	87.7	56.8	PKSF-2G_LP-DIR-T	shoemake 2025-07-10 15:02:43	4.87E-05	8.42E-06	2.19E-06	4.49E-07	8	273	PKSF-2G_LP-DIR-T-417	LT-T-Z:LP-DIR-T	g	883	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	7	373
	This study		17.4	87.7	57	PKSF-2G_LP-DIR-T	shoemake 2025-07-11 20:10:31	1.30E-05	4.90E-07	7.54E-06	1.16E-05	8	273	PKSF-2G_LP-DIR-T-418	LT-T-Z:LP-DIR-T	g	884	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	8	433
	This study		1.6	81.4	56.5	PKSF-2G_LP-DIR-T	shoemake 2025-07-12 16:10:48	2.60E-05	5.20E-07	5.33E-07	1.51E-07	8	273	PKSF-2G_LP-DIR-T-419	LT-T-Z:LP-DIR-T	g	885	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	9	433
	This study		3.1	88.2	58.8	PKSF-2G_LP-DIR-T	shoemake 2025-07-17 13:49:34	1.20E-05	5.92E-07	2.73E-07	3.44E-08	8	273	PKSF-2G_LP-DIR-T-420	LT-T-Z:LP-DIR-T	g	886	pmagpy-4.3.7	PKSF-2G	u	0	0	0	0	10	483
	This study		2.4	187.5	53.6	PKSF-2H_LP-DIR-T	shoemake 2024-07-17 14:50:05	6.27E-05	1.60E-06	2.05E-06	7.48E-07	8	273	PKSF-2H_LP-DIR-T-421	LT-NO:LP-DIR-T	g	887	pmagpy-4.3.7	PKSF-2H	u	0	0	0	0	0	273
	This study		4.9	190.1	54.2	PKSF-2H_LP-DIR-T	shoemake 2024-07-18 19:21:22	6.37E-05	2.25E-06	4.86E-06	9.74E-07	8	273	PKSF-2H_LP-DIR-T-422	LT-NO:LP-DIR-T	g	888	pmagpy-4.3.7	PKSF-2H	u	0	0	0	0	1	273
	This study		1.3	184.8	53.3	PKSF-2H_LP-DIR-T	shoemake 2024-08-02 21:39:49	6.00E-05	7.64E-07	1.08E-06	3.86E-07	8	273	PKSF-2H_LP-DIR-T-423	LT-LT-Z:LP-DIR-T	g	889	pmagpy-4.3.7	PKSF-2H	u	0	0	0	0	2	77
	This study		2.6	184.6	53.2	PKSF-2H_LP-DIR-T	shoemake 2024-08-13 17:58:48	5.93E-05	8.80E-07	2.46E-06	4.87E-07	8	273	PKSF-2H_LP-DIR-T-424	LT-LT-Z:LP-DIR-T	g	890	pmagpy-4.3.7	PKSF-2H	u	0	0	0	0	3	77
	This study		2.4	192.4	53.6	PKSF-2H_LP-DIR-T	shoemake 2024-08-14 20:05:15	4.33E-05	3.70E-07	1.78E-06	2.57E-07	8	273	PKSF-2H_LP-DIR-T-425	LT-T-Z:LP-DIR-T	g	891	pmagpy-4.3.7	PKSF-2H	u	0	0	0	0	4	343
	This study		2.1	188.5	53.8	PKSF-2H_LP-DIR-T	shoemake 2025-07-09 19:30:54	4.52E-05	8.90E-07	1.47E-06	1.89E-07	8	273	PKSF-2H_LP-DIR-T-426	LT-T-Z:LP-DIR-T	g	892	pmagpy-4.3.7	PKSF-2H	u	0	0	0	0	5	373
	This study		5	201.4	55.2	PKSF-2H_LP-DIR-T	shoemake 2025-07-11 20:12:56	2.09E-05	8.16E-07	1.63E-06	8.87E-08	8	273	PKSF-2H_LP-DIR-T-427	LT-T-Z:LP-DIR-T	g	893	pmagpy-4.3.7	PKSF-2H	u	0	0	0	0	6	433
